_id,message_id,race_id,driver_id,mechanic_name,timestamp,lap,message_text,message_type,tags
68446db7621bbd729b514c5e,msg3197,842,67,Ella Martin,2025-06-11T23:32:00Z,33,"Good job, currently P3.",info,"['position', 'info']"
68446db7621bbd729b5140b2,msg209,843,155,John Smith,2025-06-07T19:56:00Z,15,Switch to engine mode 7.,engine,"['engine', 'mode_change']"
68446db7621bbd729b514aca,msg2793,845,13,Sophie King,2025-06-11T10:04:00Z,12,"Red flag, enter the pit lane.",alert,"['red_flag', 'alert']"
68446db7621bbd729b514c60,msg3199,848,67,Ryan Hall,2025-06-11T23:36:00Z,28,"Pit for softs, final stint.",strategy,"['pitstop', 'softs', 'final_stint']"
68446db7621bbd729b514a15,msg2612,851,16,Lisa Turner,2025-06-11T04:02:00Z,13,"Pit for softs, final stint.",strategy,"['pitstop', 'softs', 'final_stint']"
68446db7621bbd729b514a23,msg2626,857,13,Grace Clark,2025-06-11T04:30:00Z,31,"Harvest energy, charge battery.",engine,"['harvest', 'battery']"
68446db7621bbd729b514883,msg2210,858,1,Sophie King,2025-06-10T14:38:00Z,17,"Red flag, enter the pit lane.",alert,"['red_flag', 'alert']"
68446db7621bbd729b514c44,msg3171,864,4,Benjamin Allen,2025-06-11T22:40:00Z,12,"Hold position, conserve tyres.",strategy,"['tyre_management', 'conserve']"
68446db7621bbd729b515282,msg4769,865,155,Emma Young,2025-06-14T03:56:00Z,3,"Brake temps high, adjust pace.",engine,"['brakes', 'high_temp']"
68446db7621bbd729b5149f0,msg2575,868,818,Jacob Evans,2025-06-11T02:48:00Z,34,Prepare for safety car restart.,alert,"['safety_car', 'restart']"
68446db7621bbd729b51408b,msg170,874,10,Olivia Scott,2025-06-07T18:38:00Z,21,"Pit for softs, final stint.",strategy,"['pitstop', 'softs', 'final_stint']"
68446db7621bbd729b5146cf,msg1774,877,154,Benjamin Allen,2025-06-10T00:06:00Z,10,Virtual safety car deployed.,alert,"['vsc', 'alert']"
68446db7621bbd729b514567,msg1414,879,13,Emma Young,2025-06-09T12:06:00Z,17,Increase brake bias forward.,engine,"['brakes', 'bias']"
68446db7621bbd729b5147f2,msg2065,884,813,Olivia Scott,2025-06-10T09:48:00Z,15,Yellow flag in sector 2.,alert,"['yellow_flag', 'sector2']"
68446db7621bbd729b514997,msg2486,886,818,Sara White,2025-06-10T23:50:00Z,59,"Check tyre temps, tyres are cold.",info,"['tyre_management', 'cold']"
68446db7621bbd729b5145e7,msg1542,887,821,Mike Brown,2025-06-09T16:22:00Z,28,"Harvest energy, charge battery.",engine,"['harvest', 'battery']"
68446db7621bbd729b515052,msg4209,888,154,Mason Wright,2025-06-13T09:16:00Z,26,Increase brake bias forward.,engine,"['brakes', 'bias']"
68446db7621bbd729b5143c2,msg993,890,4,Mike Brown,2025-06-08T22:04:00Z,36,Yellow flag in sector 2.,alert,"['yellow_flag', 'sector2']"
68446db7621bbd729b51411d,msg316,896,3,Benjamin Allen,2025-06-07T23:30:00Z,8,"Hold position, conserve tyres.",strategy,"['tyre_management', 'conserve']"
68446db7621bbd729b5148a1,msg2240,897,820,Ryan Hall,2025-06-10T15:38:00Z,8,Virtual safety car deployed.,alert,"['vsc', 'alert']"
68446db7621bbd729b5142a9,msg712,901,818,Alex Green,2025-06-08T12:42:00Z,3,Rain expected in 10 minutes.,weather,"['weather', 'rain']"
68446db7621bbd729b5140a3,msg194,902,821,Mason Wright,2025-06-07T19:26:00Z,14,"Final lap, bring it home.",info,"['final_lap', 'info']"
68446db7621bbd729b5150ef,msg4366,903,4,Lisa Turner,2025-06-13T14:30:00Z,12,Rain expected in 10 minutes.,weather,"['weather', 'rain']"
68446db7621bbd729b5149ee,msg2573,903,825,Mike Brown,2025-06-11T02:44:00Z,19,"Brake temps high, adjust pace.",engine,"['brakes', 'high_temp']"
68446db7621bbd729b514c37,msg3158,903,828,Jacob Evans,2025-06-11T22:14:00Z,43,"Pit for mediums, car behind boxing.",strategy,"['pitstop', 'mediums', 'gap']"
68446db7621bbd729b5144dc,msg1275,914,820,Nathan Lewis,2025-06-09T07:28:00Z,4,"Box for softs, push now.",strategy,"['pitstop', 'softs']"
68446db7621bbd729b5148a7,msg2246,915,807,Nathan Lewis,2025-06-10T15:50:00Z,25,"Pit for hards, tyres at limit.",strategy,"['pitstop', 'hards', 'tyre_degradation']"
68446db7621bbd729b5140ae,msg205,917,813,Mike Brown,2025-06-07T19:48:00Z,46,"Switch to wets, rain intensifying.",weather,"['pitstop', 'wets', 'weather']"
68446db7621bbd729b514916,msg2357,928,815,Lisa Turner,2025-06-10T19:32:00Z,42,"Red flag, enter the pit lane.",alert,"['red_flag', 'alert']"
68446db7621bbd729b514bdf,msg3070,930,826,Jacob Evans,2025-06-11T19:18:00Z,40,"Pit for mediums, car behind boxing.",strategy,"['pitstop', 'mediums', 'gap']"
68446db7621bbd729b5144ba,msg1241,936,828,John Smith,2025-06-09T06:20:00Z,42,"Box for softs, push now.",strategy,"['pitstop', 'softs']"
68446db7621bbd729b5146f2,msg1809,948,807,Sophie King,2025-06-10T01:16:00Z,19,Virtual safety car deployed.,alert,"['vsc', 'alert']"
68446db7621bbd729b514440,msg1119,949,8,Daniel Lee,2025-06-09T02:16:00Z,38,Prepare for safety car restart.,alert,"['safety_car', 'restart']"
68446db7621bbd729b5150c4,msg4323,949,815,Chris Black,2025-06-13T13:04:00Z,38,Switch to engine mode 7.,engine,"['engine', 'mode_change']"
68446db7621bbd729b515355,msg4980,952,832,John Smith,2025-06-14T10:58:00Z,11,"Pit for softs, final stint.",strategy,"['pitstop', 'softs', 'final_stint']"
68446db7621bbd729b514ed7,msg3830,957,18,John Smith,2025-06-12T20:38:00Z,18,"Pit for hards, tyres at limit.",strategy,"['pitstop', 'hards', 'tyre_degradation']"
68446db7621bbd729b515270,msg4751,973,840,Mike Brown,2025-06-14T03:20:00Z,35,"Blue flags, let car behind through.",alert,"['blue_flag', 'alert']"
68446db7621bbd729b5141c6,msg485,992,815,Emma Young,2025-06-08T05:08:00Z,3,"Red flag, enter the pit lane.",alert,"['red_flag', 'alert']"
68446db7621bbd729b514193,msg434,993,828,Lisa Turner,2025-06-08T03:26:00Z,36,"Front wing damage, box for repairs.",alert,"['damage', 'pitstop', 'repair']"
68446db7621bbd729b5141c9,msg488,1001,20,Olivia Scott,2025-06-08T05:14:00Z,2,"Switch to wets, rain intensifying.",weather,"['pitstop', 'wets', 'weather']"
68446db7621bbd729b515035,msg4180,1003,843,Ryan Hall,2025-06-13T08:18:00Z,38,DRS enabled.,info,"['drs', 'info']"
68446db7621bbd729b514595,msg1460,1011,826,Ella Martin,2025-06-09T13:38:00Z,14,Switch to engine mode 7.,engine,"['engine', 'mode_change']"
68446db7621bbd729b514536,msg1365,1012,825,Jacob Evans,2025-06-09T10:28:00Z,10,"Front wing damage, box for repairs.",alert,"['damage', 'pitstop', 'repair']"
68446db7621bbd729b513fec,msg011,1019,1,John Smith,2025-06-07T13:20:00Z,22,"Blue flags, let car behind through.",alert,"['blue_flag', 'alert']"
68446db7621bbd729b514281,msg672,1033,849,Sophie King,2025-06-08T11:22:00Z,33,Yellow flag in sector 2.,alert,"['yellow_flag', 'sector2']"
68446db7621bbd729b514d0b,msg3370,1034,847,Alex Green,2025-06-12T05:18:00Z,13,Rain expected in 10 minutes.,weather,"['weather', 'rain']"
68446db7621bbd729b515057,msg4214,1039,817,Ella Martin,2025-06-13T09:26:00Z,10,Yellow flag in sector 2.,alert,"['yellow_flag', 'sector2']"
68446db7621bbd729b514ce3,msg3330,1039,154,Benjamin Allen,2025-06-12T03:58:00Z,30,"Pit lane speeding, 5 sec penalty.",penalty,"['penalty', 'pitlane_speeding']"
68446db7621bbd729b51462e,msg1613,1039,822,Chris Black,2025-06-09T18:44:00Z,47,"Red flag, enter the pit lane.",alert,"['red_flag', 'alert']"
